dataset for vertification of certifications ,,
names,Descriptions,Category 
GOTS,Global Organic Textile Standard,Textile
Fair Trade,Ethical sourcing and fair wages,Social
ISO 14001,Environmental management system,Environmental
Energy Star,Energy efficiency certification,Energy
USDA Organic,Organic farming certification,Agriculture
Rainforest Alliance,Sustainable agriculture and biodiversity,Agriculture
FSC,Forest Stewardship Council certification,Forestry
PEFC,Programme for the Endorsement of Forest Certification,Forestry
Cradle to Cradle,Sustainable product lifecycle certification,Product
B Corp,Certified benefit corporation,Corporate
OEKO-TEX,Textile safety and chemical testing,Textile
Blue Angel,Environmental certification,Environmental
EU Ecolabel,European environmental excellence label,Environmental
Green Seal,Environmental product certification,Environmental
LEED,Green building certification,Construction
SA8000,Social accountability certification,Social
MSC,Marine Stewardship Council certification,Fisheries
ASC,Aquaculture Stewardship Council,Fisheries
RSPO,Sustainable palm oil certification,Agriculture
Carbon Trust,Carbon footprint reduction certification,Carbon
